category,manufacturer/importer,brand,pet_type,price_segment,package_type,export,january_2021_units,february_2021_units,march_2021_units,april_2021_units,may_2021_units,june_2021_units,july_2021_units,august_2021_units,september_2021_units,october_2021_units,november_2021_units,december_2021_units,january_2022_units,february_2022_units,march_2022_units,april_2022_units,may_2022_units,june_2022_units,july_2022_units,august_2022_units,september_2022_units,october_2022_units,november_2022_units,december_2022_units,january_2023_units,february_2023_units,march_2023_units,april_2023_units,may_2023_units,june_2023_units,january_2021_tons,february_2021_tons,march_2021_tons,april_2021_tons,may_2021_tons,june_2021_tons,july_2021_tons,august_2021_tons,september_2021_tons,october_2021_tons,november_2021_tons,december_2021_tons,january_2022_tons,february_2022_tons,march_2022_tons,april_2022_tons,may_2022_tons,june_2022_tons,july_2022_tons,august_2022_tons,september_2022_tons,october_2022_tons,november_2022_tons,december_2022_tons,january_2023_tons,february_2023_tons,march_2023_tons,april_2023_tons,may_2023_tons,june_2023_tons,january_2021_mil_uah,february_2021_mil_uah,march_2021_mil_uah,april_2021_mil_uah,may_2021_mil_uah,june_2021_mil_uah,july_2021_mil_uah,august_2021_mil_uah,september_2021_mil_uah,october_2021_mil_uah,november_2021_mil_uah,december_2021_mil_uah,january_2022_mil_uah,february_2022_mil_uah,march_2022_mil_uah,april_2022_mil_uah,may_2022_mil_uah,june_2022_mil_uah,july_2022_mil_uah,august_2022_mil_uah,september_2022_mil_uah,october_2022_mil_uah,november_2022_mil_uah,december_2022_mil_uah,january_2023_mil_uah,february_2023_mil_uah,march_2023_mil_uah,april_2023_mil_uah,may_2023_mil_uah,june_2023_mil_uah
wet,TOV_KORMOTECH,CLUB_4_PAWS,cats,middle,can,1,2 291.00,4 132.00,2 386.00,5 756.00,4 904.00,2 871.00,5 836.00,13 992.00,2 273.00,5 770.00,1 820.00,2 340.00,2 500.00,3 190.00,9 560.00,1 400.00,12 970.00,9 500.00,3 050.00,4 280.00,9 200.00,2 400.00,770,1 000.00,2 500.00,2 330.00,1 300.00,2 200.00,4 300.00,6 300.00,3.44,5.94,6.04,9.8,6.51,3.61,8.09,8.1,1.59,2.77,0.87,1.12,1.2,1.53,4.59,0.67,6.23,4.56,1.46,2.05,4.42,1.15,0.37,0.48,1.2,1.12,0.62,1.06,2.06,3.02,0.17,0.29,0.29,0.48,0.31,0.16,0.38,0.36,0.07,0.12,0.04,0.05,0.06,0.07,0.22,0.03,0.27,0.19,0.07,0.11,0.21,0.07,0.02,0.03,0.07,0.07,0.04,0.08,0.14,0.2
wet,TOV_KORMOTECH,CLUB_4_PAWS,cats,middle,can,0,67 295.00,72 150.00,204 350.00,230 490.00,115 784.00,251 253.00,149 031.00,117 990.00,110 754.00,117 126.00,155 673.00,100 881.00,124 317.00,82 962.00,37 224.00,17 280.00,,3 357.00,,,,,,,,,,,,,40.37,43.28,122.59,138.29,71.08,150.75,89.42,70.79,66.45,70.28,93.4,60.53,74.59,49.78,22.33,10.37,,2.01,,,,,,,,,,,,,3.24,3.47,8.5,9.82,5.07,10.68,7.48,6.25,5.87,6.47,8.59,5.65,7.56,5.05,2.27,0.87,,0.16,,,,,,,,,,,,
wet,TOV_KORMOTECH,CLUB_4_PAWS,cats,middle,pouch,1,64 392.00,123 816.00,115 104.00,208 320.00,98 112.00,328 968.00,150 840.00,180 528.00,321 696.00,254 664.00,489 144.00,426 096.00,743 544.00,277 056.00,275 040.00,318 264.00,205 320.00,303 888.00,184 440.00,379 752.00,751 560.00,387 936.00,292 944.00,194 040.00,193 008.00,548 640.00,331 464.00,475 848.00,636 432.00,362 112.00,5.71,11.49,10.67,19.61,8.81,31.57,14.29,16.98,30.18,23.12,45.94,40.43,72.85,25.25,24.99,29.62,19.04,28.37,17.21,34.51,65.77,35.19,26.38,17.4,18.21,52.04,31.09,45.08,56.43,31.79,0.35,0.67,0.61,1.13,0.55,1.66,0.74,0.91,1.54,1.35,2.3,2.18,3.32,1.52,1.43,1.84,1.06,1.65,0.99,2.59,5.04,2.45,1.88,1.26,1.3,3.79,2.34,3.6,4.63,2.53
wet,TOV_KORMOTECH,CLUB_4_PAWS,cats,middle,pouch,0,2 078 129.00,2 368 494.00,2 758 730.00,2 491 802.00,3 016 509.00,3 010 239.00,3 343 694.00,2 494 432.00,2 643 733.00,3 211 769.00,3 167 718.00,3 235 539.00,3 121 658.00,2 325 027.00,2 913 505.00,2 779 478.59,4 557 840.41,5 085 815.59,6 288 233.00,5 179 384.00,4 299 734.00,5 938 956.00,5 468 264.00,5 854 064.00,5 109 844.00,5 742 029.73,5 798 542.27,5 209 036.00,5 759 377.00,5 064 834.00,199.41,225.97,265.81,239.9,287.21,290.24,318.31,237.72,250.37,306.09,302.65,310.38,299.56,222.13,281.66,266,436.29,487.99,604.35,498.82,404.22,557.59,530.45,564.71,491.03,551.77,546.84,491.44,540.29,477.55,15.93,18.76,21.12,18.58,23.39,22.59,27.23,21.13,22.19,28.36,26.92,28.2,27.72,20.77,27.01,29.38,48.71,52.91,65.81,59.44,48.14,72.78,63.56,71.26,62.5,72.53,78.63,71.93,81.09,73.25
wet,TOV_KORMOTECH,CLUB_4_PAWS,dogs,middle,can,1,1 079.00,3 413.00,912,3 344.00,2 866.00,806,1 199.00,13 800.00,1 439.00,2 280.00,2 400.00,378,1 400.00,1 040.00,9 790.00,1 300.00,1 480.00,2 250.00,650,2 880.00,5 690.00,4 045.00,1 200.00,2 520.00,1 550.00,2 634.00,2 810.00,3 228.00,3 974.00,3 996.00,0.86,2.18,0.92,2.92,1.77,0.59,1.59,7.01,0.73,1.09,1.15,0.27,0.67,0.5,4.7,0.62,0.71,1.08,0.31,1.38,2.73,2.03,0.58,1.21,0.74,1.25,1.35,1.53,1.91,1.91,0.04,0.12,0.05,0.15,0.1,0.03,0.08,0.34,0.03,0.05,0.06,0.01,0.03,0.02,0.24,0.04,0.04,0.05,0.02,0.09,0.14,0.12,0.04,0.07,0.05,0.09,0.08,0.11,0.13,0.12
wet,TOV_KORMOTECH,CLUB_4_PAWS,dogs,middle,can,0,28 683.00,19 935.00,19 215.00,14 715.00,26 127.00,22 113.00,28 260.00,24 462.00,56 196.00,6 102.00,30 024.00,31 923.00,39 051.00,36 144.00,24 255.00,,,1 332.00,,,17 240.00,1 392.00,2 220.00,2 831.00,1 776.00,684,4 656.00,1 896.00,1 920.00,3 048.00,17.21,11.96,11.53,8.83,15.68,13.27,16.96,14.68,33.72,3.66,18.01,19.15,23.43,21.69,14.55,,,0.8,,,6.9,0.56,0.89,1.13,0.71,0.27,1.86,0.76,0.77,1.22,1.38,0.96,0.8,0.71,1.11,0.91,1.33,1.19,2.74,0.34,1.83,1.94,2.38,2.2,1.52,,,0.07,,,1.06,0.09,0.15,0.21,0.12,0.05,0.25,0.12,0.11,0.18
wet,TOV_KORMOTECH,CLUB_4_PAWS,dogs,middle,pouch,1,23 064.00,20 472.00,34 200.00,46 008.00,26 880.00,44 424.00,47 904.00,45 408.00,28 848.00,41 616.00,58 416.00,66 600.00,32 880.00,65 952.00,42 264.00,99 072.00,29 880.00,32 016.00,40 464.00,122 856.00,214 920.00,83 424.00,42 984.00,55 824.00,51 096.00,123 552.00,90 888.00,85 080.00,139 980.00,72 960.00,2.29,2.01,3.39,4.49,2.63,4.38,4.74,4.52,2.82,4.13,5.71,6.59,3.27,6.52,4.12,9.87,2.91,3.18,3.93,12.05,20.69,8.25,4.2,5.5,5.02,12.32,9.09,8.51,14,7.3,0.13,0.12,0.21,0.28,0.16,0.28,0.29,0.26,0.17,0.24,0.34,0.38,0.19,0.39,0.25,0.63,0.17,0.17,0.25,0.84,1.52,0.58,0.3,0.39,0.37,0.92,0.72,0.63,1.08,0.51
wet,TOV_KORMOTECH,CLUB_4_PAWS,dogs,middle,pouch,0,303 288.00,288 024.00,394 728.00,374 352.00,400 446.00,392 191.00,503 304.00,550 609.00,508 628.00,637 428.00,601 210.00,561 942.00,538 884.00,391 451.00,486 581.00,510 237.00,819 006.00,871 215.00,1 108 638.00,1 036 782.00,999 144.00,976 272.00,1 122 462.00,799 629.00,942 574.00,1 089 216.00,998 319.00,1 005 576.00,1 125 300.00,1 184 976.00,30.22,28.69,39.36,37.3,39.85,39.06,50.09,54.67,50.53,63.49,59.92,56.01,53.61,38.93,48.45,50.75,81.26,86.59,108.49,102.78,97.36,96.76,111.25,78.98,93.46,107.98,98.93,99.52,111.71,117.28,2.79,2.72,3.58,3.5,3.75,3.61,4.69,5.09,4.73,5.98,5.43,5.28,5.04,3.6,4.76,5.29,9.19,9.28,12.12,11.82,11,11.32,12.8,9.67,11.43,13.83,13.52,13.84,15.79,17.09
wet,TOV_KORMOTECH,OPTIMEAL,cats,premium,can,1,2 376.00,6 584.00,6 958.00,7 160.00,2 936.00,4 970.00,13 903.00,3 268.00,10 671.00,143,120,370,12,2 516.00,2 460.00,15 092.00,16 252.00,1 104.00,2 432.00,2 176.00,5 770.00,1 000.00,2 408.00,5 200.00,16 702.00,3 242.00,11 236.00,792,8 200.00,16 224.00,1.93,4.73,5.11,5.59,2.64,4.1,7.7,2.74,3.95,0.19,0.04,0.39,0.05,2.54,0.97,5.13,5.82,0.52,0.84,1.03,2.43,0.37,0.88,1.9,5.68,1.4,3.95,0.43,3.3,5.68,0.21,0.6,0.58,0.59,0.3,0.43,0.56,0.27,0.35,0.02,0,0.04,0.01,0.26,0.1,0.63,0.71,0.06,0.08,0.12,0.26,0.04,0.1,0.22,0.85,0.17,0.55,0.06,0.33,0.7
wet,TOV_KORMOTECH,OPTIMEAL,cats,premium,can,0,54 417.00,44 107.00,56 812.00,60 865.00,40 861.00,32 472.00,3 878.00,4 352.00,32 536.00,39 638.00,59 072.00,24 176.00,1 544.00,1 040.00,13 264.00,5 024.00,11 848.00,70 136.00,65 460.00,41 752.00,59 186.00,50 655.00,57 920.00,69 312.00,65 320.00,85 088.00,96 448.00,97 184.00,108 824.00,96 087.00,18.5,15,19.32,20.69,14.17,11.27,1.32,1.48,11.06,13.48,20.08,8.22,0.52,0.35,4.51,1.71,4.03,23.85,22.26,14.2,19.47,17.22,19.69,23.57,22.21,28.93,32.79,33.04,37,32.67,2.79,2.27,2.88,3.1,2.05,1.67,0.2,0.21,1.84,2.14,3.24,1.34,0.1,0.06,0.79,0.33,0.67,4.45,3.95,2.75,4.01,3.39,3.87,4.71,4.39,5.71,6.5,6.52,7.6,6.97
wet,TOV_KORMOTECH,OPTIMEAL,cats,premium,pouch,1,25 680.00,63 024.00,34 344.00,25 824.00,22 152.00,26 772.00,25 104.00,26 724.00,71 184.00,50 832.00,92 316.00,75 768.00,82 500.00,114 408.00,70 908.00,54 396.00,82 296.00,63 276.00,50 868.00,82 008.00,155 280.00,154 932.00,72 840.00,158 460.00,127 944.00,141 924.00,105 612.00,100 080.00,80 916.00,134 520.00,2.18,5.36,2.92,2.2,1.88,2.28,2.13,2.27,6.05,4.32,7.85,6.44,7.01,9.72,6.03,4.62,7,5.38,4.32,6.97,13.2,13.17,6.19,13.47,10.88,12.06,8.98,8.51,6.88,11.43,0.31,0.68,0.43,0.3,0.25,0.32,0.26,0.29,0.71,0.54,0.92,0.78,0.92,1.28,0.75,0.62,0.88,0.63,0.56,1.04,1.95,1.85,0.92,2.08,1.52,1.65,1.54,1.44,1.04,1.86
wet,TOV_KORMOTECH,OPTIMEAL,cats,premium,pouch,0,296 522.00,233 043.00,401 853.00,282 737.00,301 848.00,291 685.00,434 609.00,583 358.00,401 917.00,461 272.00,598 392.00,387 480.00,417 583.00,601 392.00,272 919.00,446 273.00,484 572.00,499 008.00,1 012 764.00,357 216.20,400 295.80,315 432.00,598 580.00,314 732.00,217 188.00,238 114.00,243 012.00,249 684.00,333 164.00,417 904.00,25.2,19.81,34.16,24.03,25.66,24.79,36.94,49.59,34.16,39.19,50.85,32.91,35.48,51.11,23.11,37.84,41.12,42.31,86.01,30.21,33.9,26.74,50.75,26.65,18.34,20.1,20.53,20.94,28.01,35.32,5.04,4.25,6.95,4.86,5.44,5.16,7.61,10.13,7.18,8.46,10.55,7.29,8.04,10.6,5.5,10.39,10.91,11.02,19.87,9.02,8.27,7.42,11.39,7.23,5.25,5.78,6.07,6.38,9.23,10.11
wet,TOV_KORMOTECH,OPTIMEAL,dogs,premium,can,1,341,1 153.00,108,1 064.00,2 018.00,654,11 809.00,160,7 936.00,2 742.00,,40,,1 096.00,152,14 116.00,14 276.00,1 120.00,,1 068.00,,,6,,1 914.00,30,5 718.00,,,5 304.00,0.24,0.83,0.07,0.36,0.7,0.47,4.64,0.05,2.71,0.93,,0.01,,1.11,0.05,4.8,4.85,0.38,,0.36,,,0.01,,0.65,0.03,1.94,,,1.8,0.03,0.09,0.01,0.04,0.07,0.05,0.21,0.01,0.23,0.08,,0,,0.12,0,0.66,0.66,0.03,,0.05,,,0,,0.1,0,0.29,,,0.27
wet,TOV_KORMOTECH,OPTIMEAL,dogs,premium,can,0,3 238.00,2 096.00,1 898.00,2 440.00,2 495.00,2 696.00,256,104,32,1 608.00,2 840.00,2 128.00,496,,1 968.00,352,280,424,16,8,,,,,,,,,,,1.1,0.71,0.65,0.83,0.85,0.92,0.09,0.04,0.01,0.55,0.97,0.72,0.17,,0.67,0.12,0.1,0.14,0.01,0,,,,,,,,,,,0.17,0.12,0.1,0.13,0.13,0.14,0.01,0.01,0,0.09,0.16,0.12,0.03,,0.12,0.02,0.02,0.03,0,0,,,,,,,,,,
wet,TOV_KORMOTECH,OPTIMEAL,dogs,premium,pouch,1,864,15 048.00,5 100.00,9 948.00,2 820.00,3 960.00,4 548.00,3 948.00,16 692.00,10 296.00,10 836.00,4 536.00,3 264.00,15 684.00,9 120.00,6 552.00,5 916.00,10 308.00,2 904.00,1 584.00,18 576.00,7 164.00,1 848.00,1 008.00,4 728.00,4 068.00,82 260.00,6 768.00,9 888.00,13 524.00,0.07,1.28,0.43,0.85,0.24,0.34,0.39,0.34,1.42,0.88,0.92,0.39,0.28,1.33,0.78,0.56,0.5,0.88,0.25,0.13,1.58,0.61,0.16,0.09,0.4,0.35,8.21,0.68,0.99,1.35,0.01,0.15,0.06,0.11,0.03,0.05,0.05,0.04,0.18,0.11,0.11,0.05,0.04,0.17,0.1,0.08,0.06,0.14,0.03,0.02,0.22,0.09,0.02,0.02,0.05,0.05,0.93,0.09,0.13,0.16
wet,TOV_KORMOTECH,OPTIMEAL,dogs,premium,pouch,0,27 212.00,28 260.00,41 501.00,28 525.00,33 486.00,29 015.00,52 439.00,47 984.00,49 978.00,37 327.00,36 103.00,36 152.00,48 108.00,24 384.00,39 168.00,33 167.00,25 656.00,16 343.00,27 804.00,20 616.00,16 728.00,17 136.00,14 700.00,17 436.00,19 572.00,10 195.00,46 404.00,108 864.00,42 360.00,46 866.00,2.31,2.4,3.53,2.42,2.85,2.47,4.46,4.08,4.25,3.17,3.07,3.07,4.09,2.07,3.33,2.82,2.18,1.39,2.36,1.75,1.42,1.46,1.25,1.48,1.66,0.87,4.64,10.88,4.24,4.68,0.49,0.52,0.79,0.54,0.64,0.53,0.96,0.86,0.88,0.71,0.71,0.71,0.95,0.49,0.76,0.82,0.62,0.41,0.66,0.49,0.4,0.43,0.35,0.43,0.47,0.24,0.98,2.05,0.71,1.02
wet,TOV_KORMOTECH,Hav,dogs,economy,can,1,1 752.00,336,7 344.00,3 168.00,3 768.00,1 344.00,1 704.00,5 088.00,9 744.00,1 548.00,6 216.00,3 528.00,3 108.00,5 784.00,1 092.00,552,168,,,,,,,,,,1 344.00,1 344.00,672,672,2.17,0.42,9.11,3.93,4.67,1.67,2.11,6.31,12.08,1.92,7.71,4.37,3.85,7.17,1.35,0.68,0.21,,,,,,,,,,1.67,1.67,0.83,0.83,0.04,0.01,0.19,0.08,0.1,0.03,0.04,0.13,0.25,0.04,0.16,0.09,0.08,0.19,0.03,0.02,0,,,,,,,,,,0.06,0.06,0.03,0.03
wet,TOV_KORMOTECH,Hav,dogs,economy,can,0,22 944.00,18 331.00,21 472.00,20 826.00,17 460.00,19 644.00,20 976.00,22 803.00,20 623.00,19 944.00,18 924.00,20 520.00,19 763.00,14 364.00,15 700.00,19 416.00,11 880.00,20 268.00,18 900.00,11 988.00,12 324.00,14 652.00,7 234.00,9 552.00,18 895.00,14 181.00,13 428.00,10 068.00,12 190.00,15 085.00,28.45,22.73,26.62,25.82,21.65,24.36,26.01,28.28,25.57,24.73,23.47,25.44,24.51,17.81,19.47,24.08,14.73,25.13,23.44,14.87,15.28,18.17,8.97,11.84,23.43,17.58,16.65,12.48,15.12,18.71,1.34,1.11,1.29,1.23,1.07,1.13,1.26,1.36,1.22,1.19,1.14,1.24,1.29,0.95,1.11,1.59,0.95,1.45,1.36,0.87,0.91,1.16,0.57,0.72,1.48,1.23,1.14,0.89,1.09,1.36
wet,TOV_KORMOTECH,Meow,cats,economy,can,1,,26 400.00,1 760.00,2 960.00,8 240.00,12 320.00,,5 040.00,22 620.00,7 080.00,17 600.00,9 760.00,13 880.00,11 440.00,5 720.00,480,,,,,,,,,,,,,,,,10.96,0.73,1.23,3.42,5.11,,2.09,9.39,2.94,7.3,4.05,5.76,4.75,2.37,0.2,,,,,,,,,,,,,,,,0.34,0.02,0.04,0.1,0.15,,0.06,0.26,0.08,0.21,0.12,0.18,0.17,0.09,0.01,,,,,,,,,,,,,,
wet,TOV_KORMOTECH,Meow,cats,economy,can,0,28 235.00,23 147.00,25 131.00,21 440.00,21 788.00,22 952.00,27 956.00,31 934.00,30 598.00,28 660.00,29 820.00,29 952.00,23 385.00,18 011.00,30 454.00,36 845.00,45 422.00,33 243.00,43 596.00,27 895.00,27 320.00,32 884.00,30 759.00,29 006.00,14 683.00,45 115.00,26 659.00,19 380.00,17 896.00,22 580.00,11.72,9.61,10.43,8.9,9.04,9.53,11.6,13.25,12.7,11.89,12.38,12.43,9.7,7.47,12.64,15.29,18.85,13.8,18.09,11.58,11.34,13.65,12.76,12.04,6.09,18.72,11.06,8.04,7.43,9.37,0.77,0.64,0.7,0.6,0.62,0.64,0.77,0.88,0.84,0.79,0.83,0.83,0.72,0.57,0.95,1.41,1.59,1.12,1.41,0.95,0.94,1.16,1.05,0.98,0.47,1.6,1.04,0.75,0.72,0.9
wet,TOV_KORMOTECH,Meow,cats,economy,pouch,1,204 000.00,549 648.00,180 672.00,346 608.00,530 136.00,591 072.00,272 472.00,248 064.00,444 864.00,639 648.00,770 760.00,540 648.00,295 920.00,386 400.00,283 392.00,385 800.00,145 512.00,423 672.00,315 552.00,397 152.00,574 512.00,637 896.00,502 872.00,17 568.00,398 016.00,671 232.00,741 744.00,1 799 184.00,651 432.00,345 552.00,18.58,50.09,16.7,30.77,48.5,54.92,24.81,22.11,40.6,59.06,71.17,47.14,25.66,36.02,25.29,36.18,13.51,38.23,28.69,37.68,53.1,58.43,46.31,1.76,37.04,61.92,69.55,165.93,61.68,31.28,0.78,2.39,0.69,1.26,2.14,2.32,1,0.88,1.77,2.47,2.98,1.94,1.09,1.62,1.17,1.51,0.56,1.67,1.38,2.04,2.86,3.01,2.54,0.09,2.12,3.63,4.09,10.39,3.85,2.04
wet,TOV_KORMOTECH,Meow,cats,economy,pouch,0,8 176 161.00,6 836 083.00,10 515 300.00,7 915 417.00,6 282 579.00,6 271 492.00,6 039 534.00,7 846 474.00,8 651 342.00,6 526 782.00,7 859 116.00,8 213 335.00,7 215 848.00,6 546 091.00,6 035 489.26,7 362 987.16,8 782 040.84,8 404 545.00,6 355 777.00,6 786 071.91,5 265 618.60,6 919 275.50,5 839 056.00,6 187 897.00,6 068 024.00,4 758 193.89,5 844 269.11,6 031 486.00,5 999 894.00,4 349 400.00,817.52,683.36,1 027.73,785.9,618.48,623.06,603.69,784.38,848.73,646.2,779.12,812.32,713.48,649.03,601.33,735.8,868.69,833.2,634.96,667.09,513.61,678.67,579.17,618.59,606.67,475.67,584.37,599.94,599.83,434.84,50.08,42.6,64.06,49.03,39.32,40.25,41.8,57.12,62.38,46.99,57.65,61.41,53.63,48.91,47.21,62.18,74.59,70.18,53.77,65.27,50.85,67.88,57.31,66.91,67.04,53.42,69.72,71.34,73.31,54.33
wet,TOV_KORMOTECH,MASTER,cats,economy,pouch,1,127 824.00,78 840.00,43 200.00,182 880.00,117 744.00,75 144.00,101 376.00,56 424.00,91 152.00,223 008.00,209 736.00,81 888.00,124 848.00,109 200.00,832 560.00,99 192.00,53 880.00,61 056.00,38 280.00,7 152.00,63 072.00,19 008.00,42 048.00,10 368.00,130 512.00,146 304.00,97 008.00,9 792.00,11 520.00,25 344.00,10.23,6.31,3.46,14.63,9.42,6.01,8.11,4.51,7.29,17.84,16.78,6.55,9.99,8.74,66.6,7.94,4.31,4.88,3.06,0.57,5.05,1.52,3.36,0.83,10.44,11.7,7.76,0.78,0.92,2.03,0.46,0.29,0.16,0.65,0.44,0.27,0.33,0.2,0.32,0.72,0.73,0.28,0.44,0.42,2.84,0.39,0.2,0.21,0.17,0.03,0.3,0.09,0.2,0.05,0.66,0.74,0.5,0.05,0.07,0.15
wet,TOV_KORMOTECH,MASTER,cats,economy,pouch,0,,,,,,,,,,,,,,,,,,,20 736.00,20 736.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.66,1.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14,0.14,,,,,,,,,,
wet,TOV_KORMOTECH,MASTER,dogs,economy,pouch,1,3 240.00,312,1 680.00,14 832.00,3 624.00,,8 160.00,3 456.00,3 312.00,9 024.00,7 920.00,5 424.00,8 112.00,7 704.00,50 760.00,3 360.00,600,4 080.00,1 728.00,3 936.00,240,1 632.00,,3 456.00,6 912.00,,,,,3 456.00,0.26,0.02,0.13,1.19,0.29,,0.65,0.28,0.26,0.72,0.63,0.43,0.65,0.62,4.06,0.27,0.05,0.33,0.14,0.31,0.02,0.13,,0.28,0.55,,,,,0.28,0.01,0,0.01,0.05,0.01,,0.03,0.01,0.01,0.03,0.03,0.02,0.03,0.03,0.19,0.01,0,0.01,0.01,0.02,0,0.01,,0.02,0.04,,,,,0.02
wet,TOV_KORMOTECH,СТМ (Bado),cats,economy,pouch,1,,,,228 096.00,,,37 008.00,,226 896.00,,,,4 032.00,,,1 152.00,,6 240.00,,,,,,29 328.00,,,,,,,,,,19.39,,,3.15,,19.29,,,,0.34,,,0.1,,0.53,,,,,,2.49,,,,,,,,,,1.08,,,0.17,,1.01,,,,0.02,,,0.01,,0.03,,,,,,0.16,,,,,,
wet,TOV_KORMOTECH,СТМ (BonaCibo),cats,economy,pouch,1,,331 056.00,,182 160.00,308 880.00,,182 160.00,159 984.00,508 464.00,258 192.00,,363 792.00,364 320.00,,,183 744.00,,145 728.00,,418 176.00,171 072.00,,,418 176.00,,,399 168.00,,,392 832.00,,28.14,,15.48,26.25,,15.48,13.6,43.22,21.95,,30.92,30.97,,,15.62,,12.39,,35.54,14.54,,,35.54,,,33.93,,,33.39,,1.81,,0.98,1.67,,0.95,0.81,2.61,1.39,,1.96,2.08,,,0.98,,0.79,,2.68,1.07,,,3.09,,,3,,,2.97
